
"tau_elig=0.04","eta=1.0"

"tau_elig=0.04","eta=1.0"
"1","121.0","121.0","120.0","56.0","121.0","13.0","121.0","120.0","105.0","120.0","145.0","22.0","87.0","20.0","120.0","120.0","120.0","68.0","141.0","120.0","5.0","13.0","63.0","131.0","121.0","11.0","21.0","2.0","2.0","2.0"
"2","14.0","122.0","21.0","2.0","12.0","98.0","116.0","7.0","120.0","121.0","28.0","120.0","19.0","21.0","137.0","8.0","121.0","10.0","121.0","12.0","137.0","120.0","52.0","25.0","121.0","80.0","120.0","26.0","114.0","122.0"
"3","123.0","121.0","7.0","130.0","55.0","83.0","120.0","121.0","84.0","122.0","44.0","65.0","120.0","33.0","90.0","31.0","86.0","37.0","120.0","42.0","54.0","19.0","120.0","123.0","8.0","31.0","42.0","122.0","121.0","13.0"

"tau_elig=1","eta=0.01"

"tau_elig=0.04","eta=1.0"
"1","136.0","10.0","121.0","34.0","61.0","3.0","136.0","120.0","121.0","59.0","124.0","121.0","18.0","8.0","121.0","41.0","55.0","43.0","14.0","18.0","120.0","87.0","99.0","120.0","13.0","86.0","121.0","17.0","34.0","3.0"
"2","7.0","118.0","127.0","132.0","60.0","92.0","6.0","121.0","16.0","137.0","119.0","8.0","6.0","120.0","120.0","13.0","34.0","52.0","135.0","118.0","142.0","21.0","120.0","8.0","121.0","121.0","129.0","71.0","122.0","121.0"
"3","121.0","30.0","121.0","94.0","37.0","120.0","10.0","120.0","141.0","10.0","24.0","22.0","121.0","119.0","23.0","97.0","44.0","44.0","14.0","81.0","121.0","79.0","124.0","38.0","131.0","121.0","16.0","16.0","119.0","11.0"
"4","120.0","120.0","120.0","72.0","125.0","120.0","132.0","86.0","121.0","117.0","125.0","136.0","10.0","39.0","22.0","121.0","120.0","79.0","53.0","121.0","134.0","122.0","120.0","86.0","122.0","119.0","121.0","16.0","139.0","120.0"
"5","121.0","43.0","121.0","75.0","11.0","121.0","95.0","79.0","120.0","69.0","98.0","64.0","108.0","77.0","135.0","17.0","120.0","91.0","17.0","84.0","43.0","121.0","33.0","41.0","60.0","91.0","121.0","121.0","122.0","120.0"
"6","134.0","123.0","12.0","109.0","120.0","37.0","13.0","142.0","114.0","60.0","121.0","10.0","121.0","109.0","120.0","125.0","27.0","120.0","26.0","9.0","17.0","121.0","129.0","120.0","94.0","16.0","88.0","14.0","13.0","136.0"
"7","139.0","87.0","63.0","33.0","121.0","120.0","134.0","81.0","66.0","53.0","2.0","2.0","2.0","121.0","7.0","78.0","16.0","120.0","62.0","6.0","21.0","12.0","29.0","121.0","58.0","117.0","24.0","59.0","129.0","121.0"
"8","78.0","112.0","121.0","121.0","122.0","36.0","24.0","128.0","127.0","120.0","120.0","36.0","121.0","43.0","15.0","120.0","98.0","14.0","120.0","54.0","120.0","101.0","143.0","6.0","121.0","44.0","120.0","44.0","121.0","101.0"

"tau_elig=0.04","eta=1.0"
"1","239.0","237.0","17.0","77.0","13.0","21.0","237.0","25.0","238.0","172.0","221.0","204.0","24.0","274.0","339.0","125.0","84.0","200.0","24.0","154.0","236.0","34.0","277.0","76.0","270.0","240.0","241.0","78.0","159.0","247.0"
"2","19.0","241.0","66.0","38.0","126.0","238.0","239.0","204.0","237.0","237.0","243.0","235.0","225.0","237.0","190.0","272.0","198.0","237.0","126.0","255.0","240.0","257.0","15.0","241.0","97.0","243.0","28.0","86.0","242.0","264.0"
"3","118.0","6.0","4.0","196.0","57.0","238.0","37.0","4.0","17.0","238.0","134.0","208.0","234.0","68.0","100.0","264.0","62.0","50.0","5.0","4.0","7.0","268.0","236.0","70.0","158.0","238.0","236.0","236.0","236.0","181.0"

"tau_elig=1.0","eta=0.1"

"tau_elig=1.0","eta=0.1"

"tau_elig=1.0","eta=0.1"

"tau_elig=1.0","eta=0.1"

"tau_elig=1.0","eta=0.1"

"tau_elig=1.0","eta=0.1"

"tau_elig=1.0","eta=0.1"
"1","27.0","11.0","36.0","15.0","24.0","40.0","19.0","13.0","3.0","70.0","37.0","85.0","11.0","5.0","13.0","51.0","10.0","32.0","11.0","5.0","25.0","8.0","14.0","17.0","151.0","5.0","16.0","15.0","15.0","44.0"
"2","71.0","48.0","247.0","17.0","9.0","10.0","13.0","20.0","18.0","21.0","10.0","17.0","15.0","17.0","16.0","50.0","14.0","22.0","21.0","14.0","11.0","16.0","13.0","7.0","44.0","22.0","10.0","5.0","37.0","53.0"
"3","103.0","36.0","55.0","220.0","6.0","7.0","19.0","13.0","169.0","10.0","121.0","114.0","14.0","6.0","57.0","14.0","36.0","69.0","11.0","7.0","128.0","91.0","9.0","12.0","14.0","23.0","147.0","16.0","15.0","57.0"
"4","81.0","7.0","8.0","68.0","8.0","4.0","44.0","37.0","39.0","80.0","39.0","103.0","23.0","15.0","154.0","37.0","28.0","23.0","20.0","10.0","12.0","17.0","28.0","16.0","11.0","16.0","16.0","65.0","36.0","9.0"
"5","11.0","23.0","20.0","65.0","28.0","39.0","28.0","8.0","8.0","11.0","9.0","11.0","13.0","15.0","15.0","33.0","21.0","12.0","22.0","5.0","13.0","9.0","9.0","11.0","21.0","7.0","15.0","14.0","5.0","6.0"
"6","34.0","43.0","125.0","40.0","26.0","21.0","237.0","236.0","236.0","5.0","10.0","18.0","24.0","10.0","21.0","9.0","11.0","6.0","18.0","12.0","22.0","34.0","51.0","21.0","87.0","32.0","16.0","34.0","21.0","20.0"
"7","94.0","8.0","13.0","95.0","18.0","5.0","9.0","4.0","18.0","74.0","177.0","26.0","41.0","35.0","91.0","124.0","22.0","105.0","13.0","10.0","16.0","8.0","4.0","71.0","17.0","24.0","21.0","110.0","27.0","22.0"
"8","17.0","58.0","25.0","16.0","19.0","24.0","33.0","66.0","18.0","5.0","11.0","16.0","12.0","58.0","51.0","34.0","17.0","66.0","19.0","10.0","30.0","21.0","72.0","12.0","13.0","14.0","32.0","15.0","21.0","145.0"
"9","90.0","7.0","21.0","19.0","16.0","12.0","24.0","5.0","120.0","115.0","57.0","5.0","12.0","18.0","139.0","166.0","29.0","13.0","16.0","24.0","89.0","69.0","20.0","118.0","77.0","14.0","5.0","8.0","10.0","8.0"
"10","200.0","25.0","21.0","45.0","19.0","19.0","14.0","201.0","7.0","10.0","19.0","54.0","10.0","8.0","21.0","91.0","12.0","11.0","6.0","8.0","7.0","23.0","7.0","19.0","10.0","8.0","13.0","4.0","21.0","24.0"
"11","14.0","34.0","23.0","13.0","15.0","16.0","48.0","15.0","18.0","72.0","7.0","10.0","18.0","13.0","24.0","25.0","8.0","10.0","9.0","15.0","71.0","30.0","20.0","17.0","25.0","103.0","266.0","244.0","109.0","68.0"
"12","66.0","53.0","21.0","14.0","23.0","13.0","8.0","20.0","17.0","8.0","17.0","25.0","14.0","22.0","33.0","28.0","12.0","28.0","6.0","13.0","9.0","6.0","9.0","10.0","6.0","13.0","26.0","40.0","96.0","275.0"
